depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,4.0,0.1,0.9166666666666666,0.9523809523809523
3.0,32.0,2.0,0.1,0.9166666666666666,0.9473684210526315
5.0,64.0,2.0,0.2,0.9166666666666666,0.9473684210526315
5.0,32.0,4.0,0.3,0.9166666666666666,0.9473684210526315
5.0,64.0,2.0,0.3,0.9166666666666666,0.9473684210526315
5.0,32.0,2.0,0.3,0.9166666666666666,0.9473684210526315
3.0,64.0,2.0,0.3,0.9166666666666666,0.9473684210526315
5.0,64.0,4.0,0.2,0.9166666666666666,0.9473684210526315
5.0,32.0,4.0,0.2,0.9166666666666666,0.9473684210526315
3.0,64.0,4.0,0.2,0.9166666666666666,0.9473684210526315
3.0,32.0,4.0,0.2,0.9166666666666666,0.9473684210526315
5.0,32.0,2.0,0.2,0.9166666666666666,0.9473684210526315
3.0,64.0,2.0,0.2,0.9166666666666666,0.9473684210526315
5.0,64.0,4.0,0.1,0.9166666666666666,0.9473684210526315
5.0,32.0,4.0,0.1,0.9166666666666666,0.9473684210526315
5.0,64.0,2.0,0.1,0.9166666666666666,0.9473684210526315
5.0,32.0,2.0,0.1,0.9166666666666666,0.9473684210526315
3.0,64.0,2.0,0.1,0.8333333333333334,0.9090909090909091
3.0,32.0,2.0,0.3,0.8333333333333334,0.9
5.0,64.0,4.0,0.3,0.8333333333333334,0.9
3.0,32.0,2.0,0.2,0.8333333333333334,0.8888888888888888
3.0,64.0,4.0,0.1,0.8333333333333334,0.8888888888888888
3.0,32.0,4.0,0.3,0.8333333333333334,0.8888888888888888
3.0,64.0,4.0,0.3,0.8333333333333334,0.8888888888888888
